Endpoint,N_total,N_labeled,N_missing,N_valid,N_positives,Positive_rate,N_unique_scaffolds
NR-AhR,7831,6549,1282,6542,768,0.1174,1926
NR-AR,7831,7265,566,7258,308,0.0424,2159
NR-AR-LBD,7831,6758,1073,6751,237,0.0351,1946
NR-ER,7831,6193,1638,6186,791,0.1279,1769
NR-ER-LBD,7831,6955,876,6948,349,0.0502,2025
NR-PPAR-gamma,7831,6450,1381,6443,186,0.0289,1812
SR-ARE,7831,5832,1999,5825,942,0.1617,1576
SR-ATAD5,7831,7072,759,7065,264,0.0374,2049
SR-HSE,7831,6467,1364,6460,372,0.0576,1815
SR-MMP,7831,5810,2021,5804,918,0.1582,1668
SR-p53,7831,6774,1057,6767,423,0.0625,1965
NR-Aromatase,7831,5821,2010,5815,300,0.0516,1671
