Task,Seed,Representation,Combination,Meta_Variant,LR_C,ROC_AUC,PR_AUC,MCC,Balanced_Acc
NR-AhR,42,morgan,RF_only,single,,0.7812901309106243,0.4555289311602478,0.2361284476183087,0.5434707607383129
NR-AhR,42,morgan,XGB_only,single,,0.7592576620090852,0.4238237729337802,0.3209695886465162,0.6755218216318786
NR-AhR,42,Graph,GCN_only,single,,0.7888467214842926,0.4474845605002087,0.3005704581581689,0.6355011212696222
NR-AhR,42,morgan,RF+GCN,averaging,,0.8101364690548751,0.5067426880978138,0.3937079871217562,0.6111350698637226
NR-AhR,42,morgan,RF+GCN,voting,,0.6670619860847565,0.3298585274595189,0.4151997731951845,0.666321660629061
NR-AhR,42,morgan,RF+GCN,lr_none,,0.8102802215705441,0.5114342152105329,0.4205414762952082,0.6434218848829855
NR-AhR,42,morgan,RF+GCN,lr_l2,0.1,0.8085072738772929,0.4982802748210953,0.0719990202486447,0.5049307112874476
NR-AhR,42,morgan,RF+GCN,lr_l2,1.0,0.810308972073678,0.5082346573691872,0.4290192630082314,0.6295066413662239
NR-AhR,42,morgan,RF+GCN,lr_l2,10.0,0.8104143905851685,0.5117686302254856,0.422873629152235,0.6416249784371226
NR-AhR,42,morgan,RF+XGB,averaging,,0.7799244820117687,0.4636709562165995,0.3820042671938971,0.6479500891265597
NR-AhR,42,morgan,RF+XGB,voting,,0.6802800299005233,0.293282963834341,0.3209695886465162,0.6755218216318786
NR-AhR,42,morgan,RF+XGB,lr_none,,0.7884394226898972,0.4721788268468342,0.3778038337146941,0.6241590477833362
NR-AhR,42,morgan,RF+XGB,lr_l2,0.1,0.776618174151381,0.4585896493224592,0.202215177251241,0.5264360876315336
NR-AhR,42,morgan,RF+XGB,lr_l2,1.0,0.7841555977229602,0.4678675642161525,0.3582269310638089,0.6138519924098671
NR-AhR,42,morgan,RF+XGB,lr_l2,10.0,0.788295670174228,0.4717009744588012,0.3758645691054446,0.6219165085388993
NR-AhR,42,morgan,XGB+GCN,averaging,,0.8016215283767466,0.4865457845574113,0.3856560212052418,0.6717555057213501
NR-AhR,42,morgan,XGB+GCN,voting,,0.7164984762233338,0.3595326368693406,0.3528235047032673,0.7024466678166867
NR-AhR,42,morgan,XGB+GCN,lr_none,,0.8045349126943055,0.4856077438764611,0.4131580616624271,0.6564458628025991
NR-AhR,42,morgan,XGB+GCN,lr_l2,0.1,0.8017604891418932,0.4869336320222653,0.2954967901260392,0.5622879650393882
NR-AhR,42,morgan,XGB+GCN,lr_l2,1.0,0.8039599026316294,0.486041750663611,0.4096267167309513,0.6461244321775631
NR-AhR,42,morgan,XGB+GCN,lr_l2,10.0,0.8044438694343817,0.4853869167593569,0.4079566539588684,0.6537576907595882
NR-AhR,42,morgan,RF+XGB+GCN,averaging,,0.8070889157226917,0.5035245417100559,0.4096267167309513,0.6461244321775631
NR-AhR,42,morgan,RF+XGB+GCN,voting,,0.7182546527897571,0.3752957602009119,0.403990315817523,0.6393968144442528
NR-AhR,42,morgan,RF+XGB+GCN,lr_none,,0.8126281793264716,0.5145240442025739,0.418411628117803,0.6492582370191479
NR-AhR,42,morgan,RF+XGB+GCN,lr_l2,0.1,0.806724742682997,0.5012619910684838,0.3404749671614075,0.5829020757863262
NR-AhR,42,morgan,RF+XGB+GCN,lr_l2,1.0,0.810883982136354,0.5086603610744278,0.422873629152235,0.6416249784371226
NR-AhR,42,morgan,RF+XGB+GCN,lr_l2,10.0,0.8125371360665479,0.5136553866824154,0.4219209541468371,0.6497038698177218
NR-AhR,42,maccs,RF_only,single,,0.7726002913384317,0.3906998417592726,0.2223873486060496,0.5506583865217641
NR-AhR,42,maccs,XGB_only,single,,0.7885735917045213,0.4207616594995042,0.3065780062060149,0.662052210913691
NR-AhR,42,Graph,GCN_only,single,,0.7888467214842926,0.4474845605002087,0.3005704581581689,0.6355011212696222
NR-AhR,42,maccs,RF+GCN,averaging,,0.811966917754394,0.4680602918604104,0.3000912348486398,0.5815795526421712
NR-AhR,42,maccs,RF+GCN,voting,,0.6645822551894659,0.3196983111039772,0.3990053809129669,0.6636478638376171
NR-AhR,42,maccs,RF+GCN,lr_none,,0.8108600233837426,0.4715497300233703,0.3920568939572479,0.6398568224943937
NR-AhR,42,maccs,RF+GCN,lr_l2,0.1,0.8098872980277154,0.4741461165587841,0.1365172544486518,0.5152377666609166
NR-AhR,42,maccs,RF+GCN,lr_l2,1.0,0.8104623080903917,0.4724410350185574,0.3347875294228872,0.6071387499281238
NR-AhR,42,maccs,RF+GCN,lr_l2,10.0,0.8108648151342648,0.4717688650694113,0.3844576860899046,0.6349261112069461
NR-AhR,42,maccs,RF+XGB,averaging,,0.8009938090583251,0.4159447422833482,0.3086473931614921,0.6179489391064343
NR-AhR,42,maccs,RF+XGB,voting,,0.6651716405037088,0.2777385010540776,0.3023444205775929,0.6607153125179691
NR-AhR,42,maccs,RF+XGB,lr_none,,0.8011471450750388,0.4160745347131205,0.3261633693606523,0.6022080386406762
NR-AhR,42,maccs,RF+XGB,lr_l2,0.1,0.7986410595518755,0.4176344310821481,0.1961731202442685,0.5327180725662699
NR-AhR,42,maccs,RF+XGB,lr_l2,1.0,0.7999348321928968,0.4159010859412332,0.3109348331261443,0.5945891553102179
NR-AhR,42,maccs,RF+XGB,lr_l2,10.0,0.8009938090583251,0.4160258154703763,0.3198898341655239,0.5995198665976654
NR-AhR,42,maccs,XGB+GCN,averaging,,0.8152061411074694,0.4716319545974993,0.3919719130081098,0.6798343971019493
NR-AhR,42,maccs,XGB+GCN,voting,,0.713903743315508,0.3369081363103263,0.3683435508211933,0.7050917141049968
NR-AhR,42,maccs,XGB+GCN,lr_none,,0.8147365495562839,0.478651285962534,0.3673904489908464,0.6344948536599391
NR-AhR,42,maccs,XGB+GCN,lr_l2,0.1,0.8148467598182968,0.4701059614444703,0.2868549348868056,0.5551147145075038
NR-AhR,42,maccs,XGB+GCN,lr_l2,1.0,0.8157140666628333,0.4772195744879172,0.3519681182963038,0.6228365246391812
NR-AhR,42,maccs,XGB+GCN,lr_l2,10.0,0.8149378030782206,0.4787276702172334,0.3673904489908464,0.6344948536599391
NR-AhR,42,maccs,RF+XGB+GCN,averaging,,0.8178416038947348,0.4645644853022118,0.3247665035952608,0.6152320165602898
NR-AhR,42,maccs,RF+XGB+GCN,voting,,0.7140594752074828,0.3494519192750376,0.3455613209196466,0.6219452590420332
NR-AhR,42,maccs,RF+XGB+GCN,lr_none,,0.8173959710961608,0.4799279573372317,0.3593940350562588,0.6295641423724915
NR-AhR,42,maccs,RF+XGB+GCN,lr_l2,0.1,0.8173720123435493,0.4686822576103725,0.2755902698509934,0.5609510666436663
NR-AhR,42,maccs,RF+XGB+GCN,lr_l2,1.0,0.818066816169283,0.478528334636184,0.3378410276141218,0.6152176413087229
NR-AhR,42,maccs,RF+XGB+GCN,lr_l2,10.0,0.8175780576160083,0.4801329008163297,0.3569172484098412,0.6273216031280547
NR-AhR,42,atompair,RF_only,single,,0.8061090027408814,0.5214262770555964,0.2713325933782766,0.5452532919326089
NR-AhR,42,atompair,XGB_only,single,,0.7765654648956357,0.4558593539526722,0.3498809832977052,0.6493444885285493
NR-AhR,42,Graph,GCN_only,single,,0.7888467214842926,0.4474845605002087,0.3005704581581689,0.6355011212696222
NR-AhR,42,atompair,RF+GCN,averaging,,0.8111571119161253,0.5323555753333193,0.3983174639533409,0.6093381634178598
NR-AhR,42,atompair,RF+GCN,voting,,0.6575240066701168,0.3364529773873632,0.3976351429140844,0.656014605255592
NR-AhR,42,atompair,RF+GCN,lr_none,,0.8103281390757672,0.5299568140132096,0.4003989955562301,0.6389511816456788
NR-AhR,42,atompair,RF+GCN,lr_l2,0.1,0.8063078603875569,0.5140602709049265,0.1501534904172726,0.5156833994594906
NR-AhR,42,atompair,RF+GCN,lr_l2,1.0,0.8080089318229735,0.5237682171187323,0.4089487267579977,0.6317635558622277
NR-AhR,42,atompair,RF+GCN,lr_l2,10.0,0.8098537557740595,0.5287903794668694,0.403990315817523,0.6393968144442528
NR-AhR,42,atompair,RF+XGB,averaging,,0.7940170202978551,0.4954416924019411,0.3336395042115151,0.6089356563739865
NR-AhR,42,atompair,RF+XGB,voting,,0.6516014030245529,0.3102389196867484,0.3498809832977052,0.6493444885285493
NR-AhR,42,atompair,RF+XGB,lr_none,,0.8037107316044698,0.5155947299634879,0.362156939322091,0.6142976252084411
NR-AhR,42,atompair,RF+XGB,lr_l2,0.1,0.7896134015678608,0.4841510621132364,0.2133755566227393,0.5291242596745444
NR-AhR,42,atompair,RF+XGB,lr_l2,1.0,0.7945297376037412,0.4964745162157749,0.3482792161145838,0.6026392961876833
NR-AhR,42,atompair,RF+XGB,lr_l2,10.0,0.8019042416575624,0.5121431637611472,0.3461643861034433,0.6084756483238456
NR-AhR,42,atompair,XGB+GCN,averaging,,0.8098106300193586,0.4944234002725775,0.3900956906536979,0.6510838939681445
NR-AhR,42,atompair,XGB+GCN,voting,,0.6885937170567151,0.3541487166969017,0.3820910062012909,0.6825513196480938
NR-AhR,42,atompair,XGB+GCN,lr_none,,0.805339926782052,0.4949574884064029,0.3962865491100267,0.6443419009832672
NR-AhR,42,atompair,XGB+GCN,lr_l2,0.1,0.8097100032583904,0.4955692784809712,0.3027604145634457,0.5627335978379622
NR-AhR,42,atompair,XGB+GCN,lr_l2,1.0,0.8066624499262071,0.4964055630835716,0.3968651632281905,0.6385055488471049
NR-AhR,42,atompair,XGB+GCN,lr_l2,10.0,0.8054070112893643,0.4948275602765799,0.3909003046352185,0.6416537289402564
NR-AhR,42,atompair,RF+XGB+GCN,averaging,,0.8154792708872406,0.5204017253369532,0.3682679722176692,0.6210252429417515
NR-AhR,42,atompair,RF+XGB+GCN,voting,,0.6893196672608437,0.3770833934209205,0.3837501494511908,0.6228077741360474
NR-AhR,42,atompair,RF+XGB+GCN,lr_none,,0.8103329308262894,0.5187377055448865,0.402316577112193,0.6411937208901156
NR-AhR,42,atompair,RF+XGB+GCN,lr_l2,0.1,0.8132079811396699,0.5121119639498863,0.3251084736305355,0.5707981139669944
NR-AhR,42,atompair,RF+XGB+GCN,lr_l2,1.0,0.8112721139286603,0.5170471009742472,0.4003669667101574,0.6349117359553792
NR-AhR,42,atompair,RF+XGB+GCN,lr_l2,10.0,0.810102926801219,0.5171791152909647,0.4058445722145678,0.6416393536886895
NR-AhR,1,morgan,RF_only,single,,0.7773441243555096,0.4450031920516165,0.2531509349135439,0.5466045655798977
NR-AhR,1,morgan,XGB_only,single,,0.7592576620090852,0.4238237729337802,0.3209695886465162,0.6755218216318786
NR-AhR,1,Graph,GCN_only,single,,0.7971843673930961,0.4524418568995758,0.3200548616349078,0.6593065378644126
NR-AhR,1,morgan,RF+GCN,averaging,,0.8103952235830794,0.5075285100717836,0.3836897587078712,0.6102438042665747
NR-AhR,1,morgan,RF+GCN,voting,,0.6843482260939567,0.3351921146052505,0.4048421957114484,0.6825081938933931
NR-AhR,1,morgan,RF+GCN,lr_none,,0.8108935656373986,0.5095671523268334,0.4151271946105612,0.6407337128399747
NR-AhR,1,morgan,RF+GCN,lr_l2,0.1,0.8087947789086309,0.4977814775667535,0.1365172544486518,0.5152377666609166
NR-AhR,1,morgan,RF+GCN,lr_l2,1.0,0.8107689801238188,0.5094991448323288,0.4217345115310327,0.6331004542579495
NR-AhR,1,morgan,RF+GCN,lr_l2,10.0,0.8112385716750043,0.5109814431790729,0.4096669132996954,0.638045540796964
NR-AhR,1,morgan,RF+XGB,averaging,,0.7789206102773465,0.4537680478056841,0.3739128437340963,0.644816284284975
NR-AhR,1,morgan,RF+XGB,voting,,0.6804932627987657,0.2966460881652072,0.3209695886465162,0.6755218216318786
NR-AhR,1,morgan,RF+XGB,lr_none,,0.786160945316543,0.4605753528671734,0.3347875294228872,0.6071387499281238
NR-AhR,1,morgan,RF+XGB,lr_l2,0.1,0.7753363808866656,0.4494344337399518,0.2133755566227393,0.5291242596745444
NR-AhR,1,morgan,RF+XGB,lr_l2,1.0,0.7817956605907269,0.4570682605633561,0.358244811682009,0.6098125467195676
NR-AhR,1,morgan,RF+XGB,lr_l2,10.0,0.7858446897820712,0.4604034200255325,0.3385063575860537,0.6075843827266978
NR-AhR,1,morgan,XGB+GCN,averaging,,0.8031405132923161,0.4934510631932484,0.395198566613328,0.6838738427922488
NR-AhR,1,morgan,XGB+GCN,voting,,0.7190117493722807,0.366121782073964,0.3413315989337882,0.7006928871255247
NR-AhR,1,morgan,XGB+GCN,lr_none,,0.804798458973032,0.4934490920324063,0.4234544430004773,0.6618222068886206
NR-AhR,1,morgan,XGB+GCN,lr_l2,0.1,0.8034471853257432,0.4926882594412108,0.3392971463243779,0.5761744580530159
NR-AhR,1,morgan,XGB+GCN,lr_l2,1.0,0.8045876219500507,0.4938056027177606,0.4115506308460719,0.6483669714219998
NR-AhR,1,morgan,XGB+GCN,lr_l2,10.0,0.8047361662162421,0.4934264541229248,0.4265617244205512,0.6622678396871946
NR-AhR,1,morgan,RF+XGB+GCN,averaging,,0.8079897648208845,0.5026364534690542,0.3867771921253525,0.6430050025875452
NR-AhR,1,morgan,RF+XGB+GCN,voting,,0.7203366683916969,0.3833049345621803,0.4194268000017048,0.657337128399747
NR-AhR,1,morgan,RF+XGB+GCN,lr_none,,0.8125371360665479,0.5119309291146905,0.3909003046352185,0.6416537289402564
NR-AhR,1,morgan,RF+XGB+GCN,lr_l2,0.1,0.8078460123052155,0.5002779023232612,0.3668878074120209,0.5936547639583692
NR-AhR,1,morgan,RF+XGB+GCN,lr_l2,1.0,0.8104718915914362,0.5065842907948027,0.3858259580061958,0.6331292047610834
NR-AhR,1,morgan,RF+XGB+GCN,lr_l2,10.0,0.8122017135299867,0.5106560405342517,0.3876827778017919,0.6412080961416825
NR-AhR,1,maccs,RF_only,single,,0.7682326107373546,0.3917731003024274,0.2276281100553243,0.551104019320338
NR-AhR,1,maccs,XGB_only,single,,0.7885735917045213,0.4207616594995042,0.3065780062060149,0.662052210913691
NR-AhR,1,Graph,GCN_only,single,,0.7971843673930961,0.4524418568995758,0.3200548616349078,0.6593065378644126
NR-AhR,1,maccs,RF+GCN,averaging,,0.8147988423130739,0.4756624036653364,0.3006333447338192,0.5914553504686332
NR-AhR,1,maccs,RF+GCN,voting,,0.6878462039752362,0.3270017123030377,0.4077720939386561,0.6865476395836927
NR-AhR,1,maccs,RF+GCN,lr_none,,0.8145065455312135,0.4771447410611524,0.3665987950676163,0.6286585015237767
NR-AhR,1,maccs,RF+GCN,lr_l2,0.1,0.8124748433097579,0.4740148492937125,0.1904160939654061,0.5259904548329596
NR-AhR,1,maccs,RF+GCN,lr_l2,1.0,0.8137159066950339,0.476281273155791,0.3432374735857709,0.6120694612155713
NR-AhR,1,maccs,RF+GCN,lr_l2,10.0,0.8143675847660667,0.4765360525180104,0.3609475272826812,0.6259703294807659
NR-AhR,1,maccs,RF+XGB,averaging,,0.80027504647998,0.4181251078797682,0.3091814560556901,0.6197458455522972
NR-AhR,1,maccs,RF+XGB,voting,,0.6658880072067929,0.2810748040665094,0.3037479751056722,0.661160945316543
NR-AhR,1,maccs,RF+XGB,lr_none,,0.7983439710194928,0.4174893372548868,0.2856174270357567,0.5950635386119257
NR-AhR,1,maccs,RF+XGB,lr_l2,0.1,0.7980325072355433,0.4187492311278272,0.1852035077592455,0.5300299005232592
NR-AhR,1,maccs,RF+XGB,lr_l2,1.0,0.7981331339965116,0.4176355027638502,0.2926497717449924,0.5923609913173481
NR-AhR,1,maccs,RF+XGB,lr_l2,10.0,0.798281678262703,0.4175756297924277,0.2856174270357567,0.5950635386119257
NR-AhR,1,maccs,XGB+GCN,averaging,,0.8164472044927452,0.4754742476259421,0.4052148921223986,0.684305100339256
NR-AhR,1,maccs,XGB+GCN,voting,,0.7268462614762425,0.3408733846717678,0.3762053900289826,0.7167787936288885
NR-AhR,1,maccs,XGB+GCN,lr_none,,0.8165957487589366,0.4788143945760421,0.3609484722901834,0.6354004945086539
NR-AhR,1,maccs,XGB+GCN,lr_l2,0.1,0.8162938684760317,0.4750432215352537,0.2885643668821748,0.5618423322408141
NR-AhR,1,maccs,XGB+GCN,lr_l2,1.0,0.8163801199854331,0.4787781464957087,0.336060149952383,0.622405267092174
NR-AhR,1,maccs,XGB+GCN,lr_l2,10.0,0.8165813735073698,0.4792920839569155,0.3554734909155533,0.6327123224656431
NR-AhR,1,maccs,RF+XGB+GCN,averaging,,0.8190587085273993,0.4719886342881841,0.3302915516760849,0.623310907940889
NR-AhR,1,maccs,RF+XGB+GCN,voting,,0.7277902363291356,0.3543327164120209,0.3554734909155533,0.6327123224656431
NR-AhR,1,maccs,RF+XGB+GCN,lr_none,,0.8188526632549402,0.4813799123355153,0.3528739239776537,0.6304697832212064
NR-AhR,1,maccs,RF+XGB+GCN,lr_l2,0.1,0.8187712034960611,0.4778395999779687,0.2927668653855071,0.5685699499741246
NR-AhR,1,maccs,RF+XGB+GCN,lr_l2,1.0,0.8189149560117301,0.4805648205489365,0.3278005363008837,0.6156776493588638
NR-AhR,1,maccs,RF+XGB+GCN,lr_l2,10.0,0.8188382880033735,0.4810207737458193,0.3417092440271852,0.6250934391351849
NR-AhR,1,atompair,RF_only,single,,0.7969639468690702,0.5076683261684503,0.2798922858069733,0.5479414639756196
NR-AhR,1,atompair,XGB_only,single,,0.7765654648956357,0.4558593539526722,0.3498809832977052,0.6493444885285493
NR-AhR,1,Graph,GCN_only,single,,0.7971843673930961,0.4524418568995758,0.3200548616349078,0.6593065378644126
NR-AhR,1,atompair,RF+GCN,averaging,,0.8096860445057789,0.531650021964494,0.3786918254133031,0.6160801564027371
NR-AhR,1,atompair,RF+GCN,voting,,0.6799230444866119,0.3408869751374495,0.3975024500484259,0.6775774826059456
NR-AhR,1,atompair,RF+GCN,lr_none,,0.8101891783106205,0.5334435416413206,0.4327827991736998,0.6510407682134437
NR-AhR,1,atompair,RF+GCN,lr_l2,0.1,0.8070553734690356,0.5134302683740514,0.1904456452847523,0.5237479155885228
NR-AhR,1,atompair,RF+GCN,lr_l2,1.0,0.8087899871581086,0.5264407248369527,0.4024722084388094,0.6331148295095165
NR-AhR,1,atompair,RF+GCN,lr_l2,10.0,0.8099352155329385,0.5321069867120931,0.4327827991736998,0.6510407682134437
NR-AhR,1,atompair,RF+XGB,averaging,,0.7938780595327085,0.491459527162819,0.3587321107206445,0.6178914381001668
NR-AhR,1,atompair,RF+XGB,voting,,0.6516014030245529,0.3102389196867484,0.3498809832977052,0.6493444885285493
NR-AhR,1,atompair,RF+XGB,lr_none,,0.7991489851072393,0.5052081189291242,0.3377977979507149,0.6035449370363981
NR-AhR,1,atompair,RF+XGB,lr_l2,0.1,0.790015908611734,0.4819163891039723,0.1904456452847523,0.5237479155885228
NR-AhR,1,atompair,RF+XGB,lr_l2,1.0,0.7938684760316639,0.4914055724381704,0.3336216002300241,0.595020412857225
NR-AhR,1,atompair,RF+XGB,lr_l2,10.0,0.7980852164912886,0.5025107479619546,0.3377977979507149,0.6035449370363981
NR-AhR,1,atompair,XGB+GCN,averaging,,0.8109894006478446,0.5053662036126889,0.3868704584361031,0.6524351676154333
NR-AhR,1,atompair,XGB+GCN,voting,,0.7007168458781362,0.3658863235330112,0.3749019759802767,0.6915646023805417
