Task,Model,Chirality_Mode,ROC_AUC,PR_AUC,MCC,Balanced_Acc
NR-AhR,RF,Chiral_Agnostic,0.7812901309106243,0.45552893116024784,0.23612844761830873,0.5434707607383129
NR-AhR,GCN,Chiral_Agnostic,0.8159460077785403,0.5048460680503861,0.3899832307615278,0.6451016084270836
NR-AhR,RF,Chiral_Aware,0.7662104920169437,0.4368903490418835,0.28685493488680563,0.5551147145075038
NR-AhR,GCN,Chiral_Aware,0.8075109665482976,0.47807683012570035,0.37652291498283863,0.6485407776550983
NR-AR,RF,Chiral_Agnostic,0.7556157624369142,0.4603043342535819,0.4984643634996538,0.6548080389329488
NR-AR,GCN,Chiral_Agnostic,0.6900198117880137,0.32998002894495904,0.41115186282447547,0.6971892025755324
NR-AR,RF,Chiral_Aware,0.743353460706561,0.46756053920266955,0.563937607776288,0.6715145097332371
NR-AR,GCN,Chiral_Aware,0.6840886577513621,0.3574040408905047,0.0,0.5
SR-p53,RF,Chiral_Agnostic,0.6731281235545629,0.23146966973376354,0.15542007137095584,0.5165922090229126
SR-p53,GCN,Chiral_Agnostic,0.6490760419293253,0.18946844086169295,0.0,0.5
SR-p53,RF,Chiral_Aware,0.6582365948037588,0.22057349941270799,0.15542007137095584,0.5165922090229126
SR-p53,GCN,Chiral_Aware,0.6626922661287418,0.18028657356303532,0.0,0.5
