Endpoint,Valid_Labels,Missing_Labels,Positives (Active),Negatives (Inactive),Positive_Rate (%),Test_Size,Avg_Max_Tanimoto_Sim,Avg_OOD_Distance
NR-AhR,6549,1282,768,5781,11.73,1308,0.3619,0.6381
NR-AR,7265,566,309,6956,4.25,1451,0.3706,0.6294
NR-AR-LBD,6758,1073,237,6521,3.51,1350,0.3644,0.6356
NR-ER,6193,1638,793,5400,12.8,1237,0.3594,0.6406
NR-ER-LBD,6955,876,350,6605,5.03,1389,0.3669,0.6331
NR-PPAR-gamma,6450,1381,186,6264,2.88,1288,0.3571,0.6429
SR-ARE,5832,1999,942,4890,16.15,1165,0.3482,0.6518
SR-ATAD5,7072,759,264,6808,3.73,1413,0.3663,0.6337
SR-HSE,6467,1364,372,6095,5.75,1292,0.3519,0.6481
SR-MMP,5810,2021,918,4892,15.8,1160,0.3502,0.6498
SR-p53,6774,1057,423,6351,6.24,1353,0.3614,0.6386
NR-Aromatase,5821,2010,300,5521,5.15,1163,0.345,0.655
